comment_sentences,word_mover_distance,useful_wmd
sure great attitude course would adventurous spirit go cruise antarctica ,0.26618637455892896,0
perhaps someone inform mr goldman difference cruise ship oceanographic research vessel types ships younger years found little common besides ocean going vessels ,0.1865694657264196,0
propaganda climate deniers everyone knows world warming many people drive suv many cows keep farting ,0.2500285782002538,0
saw picture passengers saw included boy probably 12 years old look understand people like go adventures including thinking cart head towards coldest place earth problem parents took kid understood risks ,0.15600670873392997,0
wanted give kid adventure lifetime instead little wuss sitting around waiting find next food allergy might remember fondly rest lives lucky kid ,0.2324237360390942,0
sure would adventure lifetime kid boat ended sinking would end life ,0.2948709508143011,0
guess sit quiet well padded plain white room rest life safe life terrible thing waste actually living safe dull ticket ,0.2287603277119326,0
good bet entire ship like catch af americans anywhere near much ice ask wayne gretzky ,0.22977561278160955,0
yep crazy white people always trying discover new things increase humanities knowledge world around us better human situation way assuming people ship white racist ,0.15695112633622715,0
white original statement racist direct quote good friends happen black confusing yes ,0.1579652539466257,0
cruise ship research vessel full scientists studying effects anthropogenic global warming since caught ice clearly intend ice hottest time year antartica guess assume data wrong ,0.14990210469461077,0
cruise ship full global warming supports wanting eyewitness devastating effects antarctica ,0.21538606305780308,0
uscgc westwind 30 years ago come new years day trapped ice pushed larson ice shelf tore hole half length ship one side made king edwards island emergency supplies could flown made home safe prayers go crew ship get home safe ,0.19570812932033518,0
netrate concepts wishes travelers best one must little adventurous cruise begin ,0.20587456463403248,0
get one self situation like takes special kind person captain ship captain concordia must buddies ,0.21760445595905153,0
article fails mention ironic fact scientific researchers ice bound vessel seeking evidence called global warming crisis allegedly creating warming antarctic fact reporter failed mention salient fact evidence politically correct thinking media suppresses evidence contrary popular mythology global warming ,0.1606741815738423,0
thanks injecting political correctness story potentially life threatening situation please educate team germaine rescue isssues believe accurqtely reported implication ask political preference rescuing get life everything politial statement controlled left leaning idealogues pseudo sience linkages like give honest conservatives bad name ,0.1635273759968286,0
first situation life threatening icebound ship accounts danger sinking plenty provisions furthermore given incredible media coverage received global warming advocates entirely appropriate note irony team global warming researchers trapped sea ice antarctic summer ,0.13411157510701485,1
see expert antartic ice pack behavior cold weather artic condition survival including aerial rescue people ice water along turning statement potential absolute maybe black white dicotomic viewpoint absolutizing people statemnts explains insist poltical issues must central everyting could closet democrat ,0.16229725170754622,0
